experiment,feature_set,true_label,predicted_label,normalized_value,raw_count
cross_domain_cv,joint_top_features,HC,HC,0.7897,214
cross_domain_cv,joint_top_features,HC,AD,0.2103,57
cross_domain_cv,joint_top_features,AD,HC,0.2686,47
cross_domain_cv,joint_top_features,AD,AD,0.7314,128
cross_domain_cv,shared_features,HC,HC,0.7491,203
cross_domain_cv,shared_features,HC,AD,0.2509,68
cross_domain_cv,shared_features,AD,HC,0.2857,50
cross_domain_cv,shared_features,AD,AD,0.7143,125
adress_to_ccc,joint_top_features,HC,HC,0.7306,141
adress_to_ccc,joint_top_features,HC,AD,0.2694,52
adress_to_ccc,joint_top_features,AD,HC,0.6907,67
adress_to_ccc,joint_top_features,AD,AD,0.3093,30
adress_to_ccc,shared_features,HC,HC,0.5855,113
adress_to_ccc,shared_features,HC,AD,0.4145,80
adress_to_ccc,shared_features,AD,HC,0.6907,67
adress_to_ccc,shared_features,AD,AD,0.3093,30
ccc_to_adress,joint_top_features,HC,HC,1.0,78
ccc_to_adress,joint_top_features,HC,AD,0.0,0
ccc_to_adress,joint_top_features,AD,HC,0.9615,75
ccc_to_adress,joint_top_features,AD,AD,0.0385,3
ccc_to_adress,shared_features,HC,HC,0.9744,76
ccc_to_adress,shared_features,HC,AD,0.0256,2
ccc_to_adress,shared_features,AD,HC,0.8205,64
ccc_to_adress,shared_features,AD,AD,0.1795,14
