comparison,feature,mean_FP,mean_TN,std_FP,std_TN,abs_diff,mean_FN,mean_TP,std_FN,std_TP
FP_vs_TN,avg_word_length,3.4455,3.5218,0.132,0.1705,0.0763,,,,
FP_vs_TN,n_polysyllables,0.0132,0.0155,0.0139,0.0147,0.0023,,,,
FP_vs_TN,n_monosyllables,0.7167,0.6954,0.0585,0.0648,0.0213,,,,
FP_vs_TN,n_lemmas,0.538,0.5592,0.0827,0.0964,0.0212,,,,
FP_vs_TN,ttr,0.563,0.5842,0.0803,0.0923,0.0212,,,,
FP_vs_TN,tokens_per_sentence,10.7625,11.4814,6.6407,5.6741,0.7189,,,,
FP_vs_TN,avg_aoa,4.4952,4.4647,0.2125,0.1677,0.0305,,,,
FP_vs_TN,avg_concreteness,3.1525,3.258,0.1516,0.1812,0.1055,,,,
FP_vs_TN,n_low_concreteness,0.0613,0.066,0.0192,0.0239,0.0047,,,,
FP_vs_TN,n_low_synsets,0.1621,0.169,0.043,0.0334,0.0069,,,,
FP_vs_TN,n_low_aoa,0.4716,0.4903,0.077,0.0843,0.0187,,,,
FP_vs_TN,avg_Auditory_sensorimotor,1.6046,1.5668,0.1227,0.1486,0.0379,,,,
FP_vs_TN,avg_Gustatory_sensorimotor,0.4903,0.4778,0.0657,0.0713,0.0125,,,,
FP_vs_TN,avg_Haptic_sensorimotor,1.5158,1.5897,0.1255,0.1761,0.074,,,,
FP_vs_TN,avg_Interoceptive_sensorimotor,1.0958,1.0057,0.1437,0.1246,0.0901,,,,
FP_vs_TN,avg_Olfactory_sensorimotor,0.5893,0.5749,0.0754,0.0658,0.0144,,,,
FP_vs_TN,avg_Visual_sensorimotor,2.9356,2.9888,0.1134,0.1631,0.0531,,,,
FP_vs_TN,avg_Foot_leg_sensorimotor,1.1144,1.1274,0.1316,0.1551,0.013,,,,
FP_vs_TN,avg_Hand_arm_sensorimotor,1.7268,1.7573,0.1427,0.1652,0.0305,,,,
FP_vs_TN,avg_Head_sensorimotor,2.2182,2.1527,0.1329,0.1149,0.0655,,,,
FP_vs_TN,avg_Mouth_sensorimotor,1.4092,1.3707,0.1175,0.15,0.0385,,,,
FP_vs_TN,avg_Torso_sensorimotor,0.9707,0.972,0.0739,0.1091,0.0013,,,,
FP_vs_TN,avg_valence,0.5832,0.5922,0.0266,0.0207,0.009,,,,
FP_vs_TN,avg_dominance,0.436,0.4358,0.0261,0.023,0.0002,,,,
FP_vs_TN,sentiment_score,-0.0085,0.0053,0.0147,0.0135,0.0138,,,,
FP_vs_TN,tree_depth,3.2771,3.2007,1.5326,0.7856,0.0764,,,,
FP_vs_TN,n_noun,0.1651,0.1901,0.0376,0.038,0.025,,,,
FP_vs_TN,n_verb,0.1416,0.1418,0.0209,0.0287,0.0002,,,,
FP_vs_TN,n_adv,0.0303,0.0205,0.0188,0.0163,0.0098,,,,
FP_vs_TN,n_pron,0.1307,0.0989,0.0329,0.0349,0.0318,,,,
FP_vs_TN,n_intj,0.0468,0.0402,0.0293,0.0235,0.0066,,,,
FP_vs_TN,n_det,0.1133,0.1299,0.0334,0.0311,0.0167,,,,
FP_vs_TN,n_adj,0.0251,0.0284,0.0164,0.0168,0.0033,,,,
FP_vs_TN,n_part,3.3571,1.7812,3.1282,1.5983,1.5759,,,,
FP_vs_TN,n_aux,9.1429,8.9531,6.6663,4.6953,0.1897,,,,
FP_vs_TN,n_num,0.0056,0.0062,0.0082,0.0088,0.0006,,,,
FP_vs_TN,n_VERB_Tense_Past,0.0097,0.0059,0.0116,0.008,0.0038,,,,
FP_vs_TN,n_VERB_Tense_Pres,0.1021,0.1153,0.0253,0.028,0.0132,,,,
FP_vs_TN,n_adjacent_repetitions,0.0071,0.0024,0.0085,0.0046,0.0047,,,,
FP_vs_TN,pronoun_noun_ratio,0.7964,0.5349,0.2933,0.2654,0.2616,,,,
FP_vs_TN,verb_noun_ratio,0.8638,0.7416,0.282,0.2454,0.1223,,,,
FP_vs_TN,filler_to_noun_ratio,0.276,0.211,0.1762,0.1327,0.065,,,,
FP_vs_TN,noun_verb_ratio,1.1303,1.3149,0.368,0.4377,0.1846,,,,
FP_vs_TN,det_noun_ratio,0.6583,0.6571,0.1705,0.1489,0.0012,,,,
FP_vs_TN,aux_verb_ratio,0.4631,0.5397,0.1947,0.2014,0.0765,,,,
FP_vs_TN,particle_verb_ratio,0.1858,0.105,0.1132,0.0793,0.0808,,,,
FN_vs_TP,avg_word_length,,,,,0.1456,3.4187,3.2731,0.2077,0.2173
FN_vs_TP,n_polysyllables,,,,,0.004,0.0116,0.0075,0.0133,0.0114
FN_vs_TP,n_monosyllables,,,,,0.0267,0.7149,0.7416,0.0545,0.072
FN_vs_TP,n_lemmas,,,,,0.0016,0.5441,0.5426,0.1239,0.0868
FN_vs_TP,ttr,,,,,0.011,0.5745,0.5635,0.1204,0.0826
FN_vs_TP,tokens_per_sentence,,,,,0.9476,10.0066,9.0589,4.1626,2.5303
FN_vs_TP,avg_aoa,,,,,0.0006,4.4174,4.4179,0.2029,0.2185
FN_vs_TP,avg_concreteness,,,,,0.1584,3.1956,3.0373,0.2366,0.2274
FN_vs_TP,n_low_concreteness,,,,,0.0089,0.0682,0.0771,0.0247,0.0205
FN_vs_TP,n_low_synsets,,,,,0.003,0.166,0.169,0.0383,0.0464
FN_vs_TP,n_low_aoa,,,,,0.0108,0.4687,0.4579,0.1074,0.081
FN_vs_TP,avg_Auditory_sensorimotor,,,,,0.0657,1.6169,1.6826,0.1468,0.1363
FN_vs_TP,avg_Gustatory_sensorimotor,,,,,0.0386,0.4884,0.5269,0.111,0.0964
FN_vs_TP,avg_Haptic_sensorimotor,,,,,0.0585,1.4759,1.4174,0.2072,0.222
FN_vs_TP,avg_Interoceptive_sensorimotor,,,,,0.0515,1.0784,1.1299,0.1391,0.1248
FN_vs_TP,avg_Olfactory_sensorimotor,,,,,0.0185,0.5898,0.6083,0.1035,0.0928
FN_vs_TP,avg_Visual_sensorimotor,,,,,0.1036,2.9274,2.8238,0.2414,0.211
FN_vs_TP,avg_Foot_leg_sensorimotor,,,,,0.0528,1.1456,1.0927,0.1856,0.15
FN_vs_TP,avg_Hand_arm_sensorimotor,,,,,0.025,1.6862,1.6612,0.1638,0.1832
FN_vs_TP,avg_Head_sensorimotor,,,,,0.0484,2.1815,2.23,0.161,0.1233
FN_vs_TP,avg_Mouth_sensorimotor,,,,,0.0716,1.3935,1.465,0.1614,0.1306
FN_vs_TP,avg_Torso_sensorimotor,,,,,0.0006,0.9805,0.9799,0.1294,0.1
FN_vs_TP,avg_valence,,,,,0.0052,0.5898,0.5951,0.0277,0.0381
FN_vs_TP,avg_dominance,,,,,0.005,0.4367,0.4417,0.0333,0.0363
FN_vs_TP,sentiment_score,,,,,0.0001,-0.0019,-0.0018,0.0173,0.0151
FN_vs_TP,tree_depth,,,,,0.211,2.8339,2.6229,0.5503,0.5792
FN_vs_TP,n_noun,,,,,0.0154,0.1651,0.1496,0.048,0.049
FN_vs_TP,n_verb,,,,,0.0022,0.1425,0.1402,0.0257,0.0262
FN_vs_TP,n_adv,,,,,0.0183,0.0275,0.0458,0.0196,0.0311
FN_vs_TP,n_pron,,,,,0.0108,0.126,0.1367,0.051,0.0462
FN_vs_TP,n_intj,,,,,0.0235,0.0442,0.0677,0.0322,0.0473
FN_vs_TP,n_det,,,,,0.0155,0.1168,0.1013,0.0418,0.0276
FN_vs_TP,n_adj,,,,,0.0011,0.0265,0.0276,0.0206,0.0232
FN_vs_TP,n_part,,,,,0.4352,2.9167,2.4815,3.3482,2.1434
FN_vs_TP,n_aux,,,,,3.0093,8.75,5.7407,8.2211,3.9677
FN_vs_TP,n_num,,,,,0.0019,0.0047,0.0028,0.0078,0.0062
FN_vs_TP,n_VERB_Tense_Past,,,,,0.0074,0.0081,0.0155,0.012,0.0147
FN_vs_TP,n_VERB_Tense_Pres,,,,,0.011,0.1094,0.0984,0.0243,0.0279
FN_vs_TP,n_adjacent_repetitions,,,,,0.0093,0.0056,0.0148,0.0094,0.0183
FN_vs_TP,pronoun_noun_ratio,,,,,0.1533,0.8625,1.0158,0.6101,0.6992
FN_vs_TP,verb_noun_ratio,,,,,0.0449,0.9105,0.9554,0.4571,0.3629
FN_vs_TP,filler_to_noun_ratio,,,,,0.2044,0.2791,0.4834,0.2604,0.3925
FN_vs_TP,noun_verb_ratio,,,,,0.0751,1.1107,1.0356,0.3901,0.599
FN_vs_TP,det_noun_ratio,,,,,0.0035,0.6542,0.6577,0.1607,0.1775
FN_vs_TP,aux_verb_ratio,,,,,0.0976,0.4854,0.3878,0.222,0.2163
FN_vs_TP,particle_verb_ratio,,,,,0.0156,0.1398,0.1554,0.0932,0.1014
