feature,feature_type,ADReSS_avg_coef,CCC_avg_coef,ADReSS_direction,CCC_direction,same_direction,direction_conflict
aux_verb_ratio,shared,-0.4072,0.3186,negative,positive,False,True
avg_Auditory_sensorimotor,shared,0.2224,0.934,positive,positive,True,False
avg_Head_sensorimotor,shared,0.1905,0.2246,positive,positive,True,False
avg_Mouth_sensorimotor,shared,-0.5543,-0.856,negative,negative,True,False
avg_valence,shared,0.1939,0.9906,positive,positive,True,False
avg_word_length,shared,-0.744,0.4769,negative,positive,False,True
n_VERB_Tense_Past,shared,0.3987,0.4275,positive,positive,True,False
n_adjacent_repetitions,shared,0.9327,0.2877,positive,positive,True,False
n_adv,shared,0.5497,0.6346,positive,positive,True,False
n_aux,shared,-0.5405,0.8338,negative,positive,False,True
n_low_synsets,shared,0.4769,0.3241,positive,positive,True,False
avg_Hand_arm_sensorimotor,ADReSS-only,-0.1251,-0.0856,negative,,,False
avg_Interoceptive_sensorimotor,ADReSS-only,0.2706,-0.1344,positive,,,False
avg_Olfactory_sensorimotor,ADReSS-only,0.4672,,positive,,,False
avg_aoa,ADReSS-only,-0.1442,-0.9918,negative,,,False
det_noun_ratio,ADReSS-only,-0.2453,,negative,,,False
n_lemmas,ADReSS-only,-0.5647,-0.3004,negative,,,False
n_low_concreteness,ADReSS-only,0.5511,,positive,,,False
n_monosyllables,ADReSS-only,0.4503,,positive,,,False
n_num,ADReSS-only,-0.3231,-0.0853,negative,,,False
n_polysyllables,ADReSS-only,-0.2364,,negative,,,False
n_verb,ADReSS-only,-0.6226,0.0666,negative,,,False
noun_verb_ratio,ADReSS-only,-0.7186,,negative,,,False
sentiment_score,ADReSS-only,-0.8782,-0.0255,negative,,,False
tokens_per_sentence,ADReSS-only,-0.3902,-0.0678,negative,,,False
avg_Gustatory_sensorimotor,CCC-only,0.3634,1.2346,,positive,,False
avg_concreteness,CCC-only,0.14,0.3702,,positive,,False
avg_dominance,CCC-only,0.1808,-0.4576,,negative,,False
n_VERB_Tense_Pres,CCC-only,,-0.148,,negative,,False
n_adj,CCC-only,0.0894,0.3396,,positive,,False
n_det,CCC-only,-0.2645,-0.4774,,negative,,False
n_intj,CCC-only,0.222,0.5366,,positive,,False
n_noun,CCC-only,,-0.4982,,negative,,False
particle_verb_ratio,CCC-only,,0.6603,,positive,,False
